,temp,dewp,stp,visib,wdsp,mxpsd,max,min,prcp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,prim_key,date
107,71.6,67.6,1007.4,8.1,11.0,20.0,80.1,68.0,1.76,0,1,0,0,0,0,722137_13878,2017-06-08
108,67.7,66.1,1003.3,7.7,7.6,26.0,75.9,60.8,0.48,0,1,0,0,1,0,722160_13869,2017-01-21
109,71.6,60.5,982.0,10.0,2.8,8.9,84.9,57.9,0.0,0,0,0,0,0,0,747812_63813,2017-09-04
110,61.8,54.9,992.7,9.3,5.9,15.0,82.9,53.1,0.75,0,1,0,0,0,0,722156_53873,2017-10-16
111,73.1,70.7,980.2,7.1,5.1,12.0,81.7,69.6,0.22,0,1,0,0,1,0,722270_13864,2017-06-22
112,39.8,34.3,975.4,8.5,10.5,17.1,43.3,35.4,0.19,0,1,0,0,0,0,722270_13864,2017-03-14
113,61.8,58.8,1001.7,7.3,7.8,22.9,79.0,59.0,2.57,0,1,0,0,1,0,722070_3822,2017-01-22
114,79.6,74.5,991.4,7.9,2.0,8.9,91.0,72.0,0.0,1,1,0,0,0,0,723200_93801,2017-08-12
115,68.7,59.7,996.0,10.0,4.9,8.0,80.1,59.0,0.02,0,1,0,0,0,0,722156_53873,2017-04-19
116,66.2,55.6,971.7,6.4,8.9,18.1,82.9,51.4,0.1,0,1,0,0,0,0,722270_13864,2017-05-04
117,41.0,34.5,983.9,8.7,8.7,17.1,45.0,36.0,0.09,0,1,0,0,0,0,722195_3888,2017-03-14
118,66.0,57.3,981.0,9.7,5.5,12.0,82.9,59.0,0.0,0,1,0,0,0,0,747808_63803,2017-10-16
119,69.0,66.1,973.8,6.9,4.9,8.9,73.0,66.2,1.44,0,1,0,0,0,0,722190_13874,2017-05-23
120,67.0,63.6,979.7,8.7,3.5,14.0,84.0,62.1,0.07,0,1,0,0,1,0,723110_13873,2017-05-13
121,60.7,54.6,1019.3,5.5,0.7,6.0,78.1,44.1,0.0,1,0,0,0,0,0,722166_93845,2017-01-15
122,74.5,72.1,987.8,8.7,4.7,15.9,84.0,71.1,1.74,0,1,0,0,1,0,723200_93801,2017-06-05
123,67.3,54.1,990.6,10.0,6.3,13.0,80.1,57.0,0.0,0,0,0,0,0,0,747808_63803,2017-10-04
124,65.6,57.6,973.4,8.2,6.7,21.0,82.0,60.1,0.01,0,1,0,0,1,0,722190_13874,2017-04-05
125,71.6,68.1,981.6,7.0,2.8,7.0,82.0,68.0,0.9,1,1,0,0,1,0,722196_53863,2017-08-31
126,78.7,73.3,1010.9,9.2,1.7,9.9,93.0,73.0,0.0,0,1,0,0,0,0,723160_13870,2017-07-26
127,59.7,53.1,1012.4,7.2,3.1,11.1,77.4,48.2,0.0,1,0,0,0,0,0,722175_13860,2017-01-17
128,72.2,69.4,1005.2,7.4,2.5,8.0,73.9,69.8,0.94,0,1,0,0,0,0,722180_3820,2017-05-23
129,57.1,55.9,970.5,5.2,2.7,7.0,65.5,45.3,0.45,1,1,0,0,0,0,722270_13864,2017-02-08
130,61.4,59.0,966.2,4.2,10.0,18.1,63.3,55.9,3.6,0,1,0,0,0,0,722270_13864,2017-09-12
131,73.9,69.9,975.0,7.3,6.6,17.1,82.9,70.0,0.82,0,1,0,0,0,0,722190_13874,2017-06-05
132,65.1,61.8,981.2,10.0,3.3,13.0,82.9,55.9,0.0,0,1,0,0,0,0,722197_53819,2017-04-23
133,73.3,68.5,976.2,6.8,5.3,21.0,84.0,69.1,0.99,1,1,0,0,1,0,722196_53863,2017-06-05
134,78.4,73.6,1004.2,9.1,2.5,19.0,87.1,75.0,0.04,0,1,0,0,1,0,722255_93842,2017-08-09
135,73.3,70.4,999.1,7.5,2.6,8.9,81.0,70.0,0.89,1,1,0,0,1,0,723160_13870,2017-06-07
136,69.2,65.7,1001.8,9.4,9.7,22.9,77.5,60.4,1.42,1,1,0,0,1,0,747810_13857,2017-01-21
137,66.9,62.6,974.9,9.7,4.0,13.0,78.1,60.1,1.16,1,1,0,0,1,0,722156_53873,2017-05-24
138,68.2,59.9,998.7,9.4,8.3,15.0,82.9,57.9,0.0,0,1,0,0,1,0,722181_13837,2017-04-03
139,66.9,63.1,1008.5,8.7,1.9,27.0,79.3,56.5,0.01,1,1,0,0,1,0,722090_3875,2017-01-21
140,71.1,62.9,995.3,10.0,5.8,12.0,84.0,63.0,0.3,0,1,0,0,1,0,722255_93842,2017-04-05
141,64.2,59.4,1004.1,7.6,3.3,13.0,81.0,55.0,0.0,1,1,0,0,1,0,722180_3820,2017-01-21
142,53.9,53.3,991.2,6.1,4.3,12.0,57.9,42.1,0.97,1,1,0,0,1,0,722197_53819,2017-01-02
